sample_id,station_id,lake_id,sample_date,lat,lon,chl_a,doc,secchi_depth,tn,toc,tp,turbidity,chl_a_ext,conductivity,dissolved_oxygen,doc_ext,oxygen_saturation,ph,suspended_solids,temperature,tn_ext,toc_ext,tp_ext,turbidity_ext,depth_layer,name,lakename,municipality,Municipal,EnvironmentType,WaterManagementAreaCode,WaterManagementArea,WaterbasinCode,Waterbasin,WaterbodyType,WaterbodyType_Id,sample_id_eo,lake_id_eo,sample_date_eo,lat_eo,lon_eo,chl_a_eo,doc_eo,secchi_depth_eo,tn_eo,toc_eo,tp_eo,turbidity_eo,eo_id,acquisition_date,abs_day_diff,s2_cloud_cover,s2_solar_zenith,s2_solar_azimuth,s2_view_zenith,s2_view_azimuth,s2_mgrs_tile,s2_item_id,chl_a_ext_eo,conductivity_eo,dissolved_oxygen_eo,doc_ext_eo,oxygen_saturation_eo,ph_eo,suspended_solids_eo,temperature_eo,tn_ext_eo,toc_ext_eo,tp_ext_eo,turbidity_ext_eo,depth_layer_eo,name_eo,lakename_eo,municipality_eo,Municipal_eo,EnvironmentType_eo,WaterManagementAreaCode_eo,WaterManagementArea_eo,WaterbasinCode_eo,Waterbasin_eo,WaterbodyType_eo,WaterbodyType_Id_eo,temporal_feature_status,temporal_feature_error,img_t0_offset_days,img_t0_acq_date,img_t0_day_diff,img_t0_cloud,img_t0_item_id,img_t0_b02,img_t0_b03,img_t0_b04,img_t0_b08,img_t1_offset_days,img_t1_acq_date,img_t1_day_diff,img_t1_cloud,img_t1_item_id,img_t1_b02,img_t1_b03,img_t1_b04,img_t1_b08,img_t2_offset_days,img_t2_acq_date,img_t2_day_diff,img_t2_cloud,img_t2_item_id,img_t2_b02,img_t2_b03,img_t2_b04,img_t2_b08,img_t3_offset_days,img_t3_acq_date,img_t3_day_diff,img_t3_cloud,img_t3_item_id,img_t3_b02,img_t3_b03,img_t3_b04,img_t3_b08,img_t4_offset_days,img_t4_acq_date,img_t4_day_diff,img_t4_cloud,img_t4_item_id,img_t4_b02,img_t4_b03,img_t4_b04,img_t4_b08,img_t5_offset_days,img_t5_acq_date,img_t5_day_diff,img_t5_cloud,img_t5_item_id,img_t5_b02,img_t5_b03,img_t5_b04,img_t5_b08,img_t6_offset_days,img_t6_acq_date,img_t6_day_diff,img_t6_cloud,img_t6_item_id,img_t6_b02,img_t6_b03,img_t6_b04,img_t6_b08,img_t7_offset_days,img_t7_acq_date,img_t7_day_diff,img_t7_cloud,img_t7_item_id,img_t7_b02,img_t7_b03,img_t7_b04,img_t7_b08,img_t8_offset_days,img_t8_acq_date,img_t8_day_diff,img_t8_cloud,img_t8_item_id,img_t8_b02,img_t8_b03,img_t8_b04,img_t8_b08,chip_path,chip_image_path,chip_status,chip_reason,s2_item_id_chip,acquisition_date_chip,abs_day_diff_chip,s2_cloud_cover_chip,s2_solar_zenith_chip,chip_nodata_ratio,chip_size,chip_overlap_stride_pixels,chip_offset_x_px,chip_offset_y_px,chip_overlap_candidates,chip_bands
FI_00000010,10060,10060,2023-02-07,61.41234231212037,29.399668855924936,,,,450.0,,12.0,1.2,,10.0,13.199999999999998,,92.0,7.400000000000001,1.4,0.8000000000000002,450.0,,12.0,1.2,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,FI_00000001,10060,2023-01-10,61.41234231212037,29.399668855924936,,,,460.0,,14.0,0.99,S2_FI_00000001,2023-02-08,1,93.576396,76.9579990738968,172.591596410515,,,36VUP,S2B_MSIL2A_20230208T094049_R036_T36VUP_20240813T101951,,11.0,13.1,,90.0,7.400000000000001,1.4,0.2,460.0,,14.0,0.99,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,no_match,,-7,,,,,,,,,-5,,,,,,,,,-3,,,,,,,,,-1,,,,,,,,,0,,,,,,,,,1,,,,,,,,,3,,,,,,,,,5,,,,,,,,,7,,,,,,,,,,,no_match,no_stac_item,,,,,,,256,128,0,0,0,"B02,B03,B04,B08"
FI_00000011,10060,10060,2023-02-07,61.41234231212037,29.399668855924936,,,,450.0,,12.0,1.2,,10.0,13.199999999999998,,92.0,7.400000000000001,1.4,0.8000000000000002,450.0,,12.0,1.2,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,FI_00000001,10060,2023-01-10,61.41234231212037,29.399668855924936,,,,460.0,,14.0,0.99,S2_FI_00000001,2023-02-08,1,93.576396,76.9579990738968,172.591596410515,,,36VUP,S2B_MSIL2A_20230208T094049_R036_T36VUP_20240813T101951,,11.0,13.1,,90.0,7.400000000000001,1.4,0.2,460.0,,14.0,0.99,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,no_match,,-7,,,,,,,,,-5,,,,,,,,,-3,,,,,,,,,-1,,,,,,,,,0,,,,,,,,,1,,,,,,,,,3,,,,,,,,,5,,,,,,,,,7,,,,,,,,,,,no_match,no_stac_item,,,,,,,256,128,0,0,0,"B02,B03,B04,B08"
FI_00000012,10060,10060,2023-03-01,61.41234231212037,29.399668855924936,,,,440.0,,10.0,0.97,,9.9,13.300000000000002,,93.0,7.3,1.0,0.8000000000000002,440.0,,10.0,0.97,0.5,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,FI_00000002,10060,2023-01-10,61.41234231212037,29.399668855924936,,,,460.0,,14.0,0.99,S2_FI_00000002,2023-03-02,1,1.468945,69.343858466529,169.937775894309,,,36VUP,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,,11.0,13.1,,90.0,7.400000000000001,1.4,0.2,460.0,,14.0,0.99,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,ok,,-7,,,,,,,,,-5,,,,,,,,,-3,,,,,,,,,-1,,,,,,,,,0,2023-03-02,1.0,1.468945,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,1958.0,2490.0,2776.0,5068.0,1,2023-03-02,0.0,1.468945,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,1958.0,2490.0,2776.0,5068.0,3,,,,,,,,,5,,,,,,,,,7,,,,,,,,,,,rejected,nodata_reject,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,2023-03-02,1.0,1.468945,69.343858466529,1.0,256,128,0,0,9,"B02,B03,B04,B08"
FI_00000013,10060,10060,2023-03-01,61.41234231212037,29.399668855924936,,,,440.0,,10.0,0.97,,9.9,13.300000000000002,,93.0,7.3,1.0,0.8000000000000002,440.0,,10.0,0.97,0.5,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,FI_00000002,10060,2023-01-10,61.41234231212037,29.399668855924936,,,,460.0,,14.0,0.99,S2_FI_00000002,2023-03-02,1,1.468945,69.343858466529,169.937775894309,,,36VUP,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,,11.0,13.1,,90.0,7.400000000000001,1.4,0.2,460.0,,14.0,0.99,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,ok,,-7,,,,,,,,,-5,,,,,,,,,-3,,,,,,,,,-1,,,,,,,,,0,2023-03-02,1.0,1.468945,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,1958.0,2490.0,2776.0,5068.0,1,2023-03-02,0.0,1.468945,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,1958.0,2490.0,2776.0,5068.0,3,,,,,,,,,5,,,,,,,,,7,,,,,,,,,,,rejected,nodata_reject,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,2023-03-02,1.0,1.468945,69.343858466529,1.0,256,128,0,0,9,"B02,B03,B04,B08"
FI_00000014,10060,10060,2023-03-01,61.41234231212037,29.399668855924936,,,,440.0,,10.0,0.97,,9.9,13.300000000000002,,93.0,7.3,1.0,0.8000000000000002,440.0,,10.0,0.97,0.5,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,FI_00000002,10060,2023-01-10,61.41234231212037,29.399668855924936,,,,460.0,,14.0,0.99,S2_FI_00000002,2023-03-02,1,1.468945,69.343858466529,169.937775894309,,,36VUP,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,,11.0,13.1,,90.0,7.400000000000001,1.4,0.2,460.0,,14.0,0.99,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,ok,,-7,,,,,,,,,-5,,,,,,,,,-3,,,,,,,,,-1,,,,,,,,,0,2023-03-02,1.0,1.468945,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,1958.0,2490.0,2776.0,5068.0,1,2023-03-02,0.0,1.468945,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,1958.0,2490.0,2776.0,5068.0,3,,,,,,,,,5,,,,,,,,,7,,,,,,,,,,,rejected,nodata_reject,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,2023-03-02,1.0,1.468945,69.343858466529,1.0,256,128,0,0,9,"B02,B03,B04,B08"
FI_00000015,10060,10060,2023-03-01,61.41234231212037,29.399668855924936,,,,440.0,,10.0,0.97,,9.9,13.300000000000002,,93.0,7.3,1.0,0.8000000000000002,440.0,,10.0,0.97,0.5,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,FI_00000002,10060,2023-01-10,61.41234231212037,29.399668855924936,,,,460.0,,14.0,0.99,S2_FI_00000002,2023-03-02,1,1.468945,69.343858466529,169.937775894309,,,36VUP,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,,11.0,13.1,,90.0,7.400000000000001,1.4,0.2,460.0,,14.0,0.99,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,ok,,-7,,,,,,,,,-5,,,,,,,,,-3,,,,,,,,,-1,,,,,,,,,0,2023-03-02,1.0,1.468945,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,1958.0,2490.0,2776.0,5068.0,1,2023-03-02,0.0,1.468945,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,1958.0,2490.0,2776.0,5068.0,3,,,,,,,,,5,,,,,,,,,7,,,,,,,,,,,rejected,nodata_reject,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,2023-03-02,1.0,1.468945,69.343858466529,1.0,256,128,0,0,9,"B02,B03,B04,B08"
FI_00000016,10060,10060,2023-03-01,61.41234231212037,29.399668855924936,,,,440.0,,10.0,0.97,,9.9,13.300000000000002,,93.0,7.3,1.0,0.8000000000000002,440.0,,10.0,0.97,0.5,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,FI_00000002,10060,2023-01-10,61.41234231212037,29.399668855924936,,,,460.0,,14.0,0.99,S2_FI_00000002,2023-03-02,1,1.468945,69.343858466529,169.937775894309,,,36VUP,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,,11.0,13.1,,90.0,7.400000000000001,1.4,0.2,460.0,,14.0,0.99,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,ok,,-7,,,,,,,,,-5,,,,,,,,,-3,,,,,,,,,-1,,,,,,,,,0,2023-03-02,1.0,1.468945,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,1958.0,2490.0,2776.0,5068.0,1,2023-03-02,0.0,1.468945,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,1958.0,2490.0,2776.0,5068.0,3,,,,,,,,,5,,,,,,,,,7,,,,,,,,,,,rejected,nodata_reject,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,2023-03-02,1.0,1.468945,69.343858466529,1.0,256,128,0,0,9,"B02,B03,B04,B08"
FI_00000017,10060,10060,2023-03-01,61.41234231212037,29.399668855924936,,,,440.0,,10.0,0.97,,9.9,13.300000000000002,,93.0,7.3,1.0,0.8000000000000002,440.0,,10.0,0.97,0.5,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,FI_00000002,10060,2023-01-10,61.41234231212037,29.399668855924936,,,,460.0,,14.0,0.99,S2_FI_00000002,2023-03-02,1,1.468945,69.343858466529,169.937775894309,,,36VUP,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,,11.0,13.1,,90.0,7.400000000000001,1.4,0.2,460.0,,14.0,0.99,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,ok,,-7,,,,,,,,,-5,,,,,,,,,-3,,,,,,,,,-1,,,,,,,,,0,2023-03-02,1.0,1.468945,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,1958.0,2490.0,2776.0,5068.0,1,2023-03-02,0.0,1.468945,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,1958.0,2490.0,2776.0,5068.0,3,,,,,,,,,5,,,,,,,,,7,,,,,,,,,,,rejected,nodata_reject,S2A_MSIL2A_20230302T093031_R136_T36VUP_20240818T001539,2023-03-02,1.0,1.468945,69.343858466529,1.0,256,128,0,0,9,"B02,B03,B04,B08"
FI_00000018,10060,10060,2023-04-04,61.41234231212037,29.399668855924936,3.5,,,480.0,,11.0,1.3999999999999997,3.5,9.8,13.199999999999998,,94.0,7.3,1.0,1.3,480.0,,11.0,1.3999999999999997,0.3,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,FI_00000003,10060,2023-01-10,61.41234231212037,29.399668855924936,,,,460.0,,14.0,0.99,S2_FI_00000003,2023-04-04,0,99.095535,56.1577166137602,174.354098219461,,,36VUP,S2A_MSIL2A_20230404T094031_R036_T36VUP_20240825T224659,,11.0,13.1,,90.0,7.400000000000001,1.4,0.2,460.0,,14.0,0.99,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,ok,,-7,,,,,,,,,-5,,,,,,,,,-3,,,,,,,,,-1,,,,,,,,,0,,,,,,,,,1,2023-04-06,1.0,17.23485,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2313.0,2288.0,2685.0,4420.0,3,2023-04-06,1.0,17.23485,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2313.0,2288.0,2685.0,4420.0,5,2023-04-09,0.0,10.744652,S2B_MSIL2A_20230409T094039_R036_T35VPJ_20240825T050634,2666.0,2942.0,3258.0,4664.0,7,,,,,,,,,D:\Water Quality Parameter Estimation\wq_pipeline\artifacts\tolerance_3d\prepared\chips\train\sample_FI_00000018.npz,D:\Water Quality Parameter Estimation\wq_pipeline\artifacts\tolerance_3d\prepared\chips\train\sample_FI_00000018.png,ok,,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2023-04-06,2.0,17.23485,55.557450396346,7.62939453125e-05,256,128,0,0,9,"B02,B03,B04,B08"
FI_00000019,10060,10060,2023-04-04,61.41234231212037,29.399668855924936,3.5,,,480.0,,11.0,1.3999999999999997,3.5,9.8,13.199999999999998,,94.0,7.3,1.0,1.3,480.0,,11.0,1.3999999999999997,0.3,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,FI_00000003,10060,2023-01-10,61.41234231212037,29.399668855924936,,,,460.0,,14.0,0.99,S2_FI_00000003,2023-04-04,0,99.095535,56.1577166137602,174.354098219461,,,36VUP,S2A_MSIL2A_20230404T094031_R036_T36VUP_20240825T224659,,11.0,13.1,,90.0,7.400000000000001,1.4,0.2,460.0,,14.0,0.99,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,ok,,-7,,,,,,,,,-5,,,,,,,,,-3,,,,,,,,,-1,,,,,,,,,0,,,,,,,,,1,2023-04-06,1.0,17.23485,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2313.0,2288.0,2685.0,4420.0,3,2023-04-06,1.0,17.23485,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2313.0,2288.0,2685.0,4420.0,5,2023-04-09,0.0,10.744652,S2B_MSIL2A_20230409T094039_R036_T35VPJ_20240825T050634,2666.0,2942.0,3258.0,4664.0,7,,,,,,,,,D:\Water Quality Parameter Estimation\wq_pipeline\artifacts\tolerance_3d\prepared\chips\train\sample_FI_00000019.npz,D:\Water Quality Parameter Estimation\wq_pipeline\artifacts\tolerance_3d\prepared\chips\train\sample_FI_00000019.png,ok,,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2023-04-06,2.0,17.23485,55.557450396346,7.62939453125e-05,256,128,0,0,9,"B02,B03,B04,B08"
FI_00000020,10060,10060,2023-04-04,61.41234231212037,29.399668855924936,3.5,,,480.0,,11.0,1.3999999999999997,3.5,9.8,13.199999999999998,,94.0,7.3,1.0,1.3,480.0,,11.0,1.3999999999999997,0.3,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,FI_00000003,10060,2023-01-10,61.41234231212037,29.399668855924936,,,,460.0,,14.0,0.99,S2_FI_00000003,2023-04-04,0,99.095535,56.1577166137602,174.354098219461,,,36VUP,S2A_MSIL2A_20230404T094031_R036_T36VUP_20240825T224659,,11.0,13.1,,90.0,7.400000000000001,1.4,0.2,460.0,,14.0,0.99,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,ok,,-7,,,,,,,,,-5,,,,,,,,,-3,,,,,,,,,-1,,,,,,,,,0,,,,,,,,,1,2023-04-06,1.0,17.23485,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2313.0,2288.0,2685.0,4420.0,3,2023-04-06,1.0,17.23485,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2313.0,2288.0,2685.0,4420.0,5,2023-04-09,0.0,10.744652,S2B_MSIL2A_20230409T094039_R036_T35VPJ_20240825T050634,2666.0,2942.0,3258.0,4664.0,7,,,,,,,,,D:\Water Quality Parameter Estimation\wq_pipeline\artifacts\tolerance_3d\prepared\chips\train\sample_FI_00000020.npz,D:\Water Quality Parameter Estimation\wq_pipeline\artifacts\tolerance_3d\prepared\chips\train\sample_FI_00000020.png,ok,,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2023-04-06,2.0,17.23485,55.557450396346,7.62939453125e-05,256,128,0,0,9,"B02,B03,B04,B08"
FI_00000021,10060,10060,2023-04-04,61.41234231212037,29.399668855924936,3.5,,,480.0,,11.0,1.3999999999999997,3.5,9.8,13.199999999999998,,94.0,7.3,1.0,1.3,480.0,,11.0,1.3999999999999997,0.3,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,FI_00000003,10060,2023-01-10,61.41234231212037,29.399668855924936,,,,460.0,,14.0,0.99,S2_FI_00000003,2023-04-04,0,99.095535,56.1577166137602,174.354098219461,,,36VUP,S2A_MSIL2A_20230404T094031_R036_T36VUP_20240825T224659,,11.0,13.1,,90.0,7.400000000000001,1.4,0.2,460.0,,14.0,0.99,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,ok,,-7,,,,,,,,,-5,,,,,,,,,-3,,,,,,,,,-1,,,,,,,,,0,,,,,,,,,1,2023-04-06,1.0,17.23485,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2313.0,2288.0,2685.0,4420.0,3,2023-04-06,1.0,17.23485,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2313.0,2288.0,2685.0,4420.0,5,2023-04-09,0.0,10.744652,S2B_MSIL2A_20230409T094039_R036_T35VPJ_20240825T050634,2666.0,2942.0,3258.0,4664.0,7,,,,,,,,,D:\Water Quality Parameter Estimation\wq_pipeline\artifacts\tolerance_3d\prepared\chips\train\sample_FI_00000021.npz,D:\Water Quality Parameter Estimation\wq_pipeline\artifacts\tolerance_3d\prepared\chips\train\sample_FI_00000021.png,ok,,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2023-04-06,2.0,17.23485,55.557450396346,7.62939453125e-05,256,128,0,0,9,"B02,B03,B04,B08"
FI_00000022,10060,10060,2023-04-04,61.41234231212037,29.399668855924936,3.5,,,480.0,,11.0,1.3999999999999997,3.5,9.8,13.199999999999998,,94.0,7.3,1.0,1.3,480.0,,11.0,1.3999999999999997,0.3,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,FI_00000003,10060,2023-01-10,61.41234231212037,29.399668855924936,,,,460.0,,14.0,0.99,S2_FI_00000003,2023-04-04,0,99.095535,56.1577166137602,174.354098219461,,,36VUP,S2A_MSIL2A_20230404T094031_R036_T36VUP_20240825T224659,,11.0,13.1,,90.0,7.400000000000001,1.4,0.2,460.0,,14.0,0.99,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,ok,,-7,,,,,,,,,-5,,,,,,,,,-3,,,,,,,,,-1,,,,,,,,,0,,,,,,,,,1,2023-04-06,1.0,17.23485,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2313.0,2288.0,2685.0,4420.0,3,2023-04-06,1.0,17.23485,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2313.0,2288.0,2685.0,4420.0,5,2023-04-09,0.0,10.744652,S2B_MSIL2A_20230409T094039_R036_T35VPJ_20240825T050634,2666.0,2942.0,3258.0,4664.0,7,,,,,,,,,D:\Water Quality Parameter Estimation\wq_pipeline\artifacts\tolerance_3d\prepared\chips\train\sample_FI_00000022.npz,D:\Water Quality Parameter Estimation\wq_pipeline\artifacts\tolerance_3d\prepared\chips\train\sample_FI_00000022.png,ok,,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2023-04-06,2.0,17.23485,55.557450396346,7.62939453125e-05,256,128,0,0,9,"B02,B03,B04,B08"
FI_00000023,10060,10060,2023-04-04,61.41234231212037,29.399668855924936,3.5,,,480.0,,11.0,1.3999999999999997,3.5,9.8,13.199999999999998,,94.0,7.3,1.0,1.3,480.0,,11.0,1.3999999999999997,0.3,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,FI_00000003,10060,2023-01-10,61.41234231212037,29.399668855924936,,,,460.0,,14.0,0.99,S2_FI_00000003,2023-04-04,0,99.095535,56.1577166137602,174.354098219461,,,36VUP,S2A_MSIL2A_20230404T094031_R036_T36VUP_20240825T224659,,11.0,13.1,,90.0,7.400000000000001,1.4,0.2,460.0,,14.0,0.99,0.2,Hiitolanjoki rajav 002,,Rautjärvi,Rautjärvi,River,VHA1,Vuoksen vesienhoitoalue,3.011,Kokkolanjoen a,Suuret kangasmaiden joet,108.0,ok,,-7,,,,,,,,,-5,,,,,,,,,-3,,,,,,,,,-1,,,,,,,,,0,,,,,,,,,1,2023-04-06,1.0,17.23485,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2313.0,2288.0,2685.0,4420.0,3,2023-04-06,1.0,17.23485,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2313.0,2288.0,2685.0,4420.0,5,2023-04-09,0.0,10.744652,S2B_MSIL2A_20230409T094039_R036_T35VPJ_20240825T050634,2666.0,2942.0,3258.0,4664.0,7,,,,,,,,,D:\Water Quality Parameter Estimation\wq_pipeline\artifacts\tolerance_3d\prepared\chips\train\sample_FI_00000023.npz,D:\Water Quality Parameter Estimation\wq_pipeline\artifacts\tolerance_3d\prepared\chips\train\sample_FI_00000023.png,ok,,S2B_MSIL2A_20230406T093039_R136_T35VPJ_20240827T080719,2023-04-06,2.0,17.23485,55.557450396346,7.62939453125e-05,256,128,0,0,9,"B02,B03,B04,B08"
